Age,Salary,City,Experience,Promotion
56.0,55920.0,Pune,7.0,0.0
46.0,87121.0,Chennai,13.0,
32.0,89479.0,Chennai,,1.0
25.0,39457.0,Mumbai,13.0,1.0
38.0,,Pune,4.0,0.0
56.0,97189.0,Chennai,13.0,0.0
36.0,98953.0,Delhi,7.0,1.0
40.0,72995.0,Delhi,11.0,
28.0,60757.0,Mumbai,3.0,1.0
28.0,29692.0,Chennai,6.0,1.0
41.0,65758.0,Pune,12.0,
53.0,92409.0,Delhi,2.0,1.0
57.0,,Chennai,10.0,0.0
,85697.0,Chennai,13.0,1.0
,57065.0,Mumbai,14.0,0.0
39.0,52606.0,,9.0,1.0
19.0,31534.0,Delhi,5.0,1.0
41.0,60397.0,Pune,6.0,1.0
47.0,21016.0,Delhi,12.0,1.0
55.0,75591.0,Pune,12.0,0.0
,43247.0,Delhi,,1.0
38.0,44300.0,Mumbai,12.0,0.0
50.0,94065.0,Delhi,4.0,0.0
29.0,29268.0,Pune,14.0,0.0
39.0,32185.0,Pune,14.0,0.0
42.0,83704.0,Mumbai,11.0,1.0
44.0,59099.0,Delhi,,0.0
59.0,,Delhi,7.0,0.0
45.0,58044.0,Mumbai,12.0,0.0
33.0,71214.0,Delhi,,1.0
32.0,81228.0,,7.0,1.0
20.0,68984.0,Pune,14.0,1.0
54.0,60774.0,Delhi,1.0,1.0
24.0,22568.0,Delhi,1.0,0.0
38.0,82592.0,Mumbai,9.0,0.0
26.0,87563.0,Mumbai,11.0,1.0
,,Chennai,,0.0
35.0,68190.0,Pune,9.0,0.0
21.0,25258.0,Delhi,4.0,0.0
42.0,59504.0,,13.0,
31.0,53159.0,,9.0,1.0
26.0,,,3.0,0.0
43.0,81858.0,Pune,7.0,1.0
19.0,32666.0,Chennai,6.0,1.0
37.0,58660.0,Pune,8.0,1.0
,23561.0,Chennai,11.0,1.0
24.0,46854.0,Chennai,9.0,1.0
25.0,84505.0,Mumbai,14.0,0.0
52.0,72251.0,Pune,5.0,1.0
31.0,42662.0,Delhi,1.0,
